timestamp,credit_backlog
10.422222247000,868970.00
10.422272257000,921262.00
10.422322267000,910496.00
10.422372277000,904344.00
10.422422287000,865894.00
10.422472297000,919724.00
10.422522307000,904344.00
10.422572317000,901268.00
10.422622327000,850514.00
10.422672337000,804374.00
10.422722347000,762848.00
10.422772357000,822830.00
10.422822367000,853590.00
10.422872377000,862818.00
10.422922387000,847438.00
10.422972397000,876660.00
10.423022407000,841286.00
10.423072417000,782842.00
10.423122427000,778228.00
10.423172437000,735164.00
10.423222447000,730550.00
10.423272457000,636732.00
10.423322467000,649036.00
10.423372477000,645960.00
10.423422487000,670568.00
10.423472497000,658264.00
10.423522507000,658264.00
10.423572517000,741316.00
10.423622527000,742854.00
10.423672537000,675182.00
10.423722547000,701328.00
10.423772557000,716708.00
10.423822567000,765924.00
10.423872577000,750544.00
10.423922587000,796993.00
10.423972597000,736702.00
10.424022607000,673644.00
10.424072617000,730550.00
10.424122627000,692100.00
10.424172637000,684410.00
10.424222647000,664416.00
10.424272657000,655188.00
10.424322667000,693638.00
10.424372677000,710556.00
10.424422687000,709018.00
10.424472697000,705942.00
10.424522707000,749006.00
10.424572717000,833596.00
10.424622727000,805912.00
10.424672737000,846970.00
10.424722747000,770538.00
10.424772757000,715170.00
10.424822767000,687486.00
10.424872777000,729012.00
10.424922787000,744392.00
10.424972797000,718246.00
10.425022807000,735164.00
10.425072817000,742854.00
10.425122827000,744392.00
10.425172837000,775152.00
10.425222847000,784380.00
10.425272857000,779766.00
10.425322867000,758234.00
10.425372877000,735164.00
10.425422887000,747468.00
10.425472897000,739778.00
10.425522907000,696714.00
10.425572917000,650574.00
10.425622927000,556756.00
10.425672937000,622890.00
10.425722947000,618276.00
10.425772957000,602896.00
10.425822967000,599820.00
10.425872977000,638270.00
10.425922987000,630580.00
10.425972997000,653650.00
10.426023007000,636732.00
10.426073017000,645960.00
10.426123027000,859742.00
10.426173037000,801298.00
10.426223047000,724398.00
10.426273057000,696714.00
10.426323067000,687486.00
10.426373077000,655188.00
10.426423087000,756696.00
10.426473097000,873584.00
10.426523107000,844362.00
10.426573117000,832058.00
10.426623127000,801298.00
10.426673137000,804374.00
10.426723147000,778228.00
10.426773157000,822830.00
10.426823167000,810526.00
10.426873177000,749006.00
10.426923187000,704404.00
10.426973197000,689024.00
10.427023207000,647498.00
10.427073217000,644422.00
10.427123227000,589054.00
10.427173237000,584440.00
10.427223247000,636732.00
10.427273257000,649036.00
10.427323267000,716708.00
10.427373277000,672106.00
10.427423287000,655188.00
10.427473297000,650574.00
10.427523307000,627504.00
10.427573317000,716708.00
10.427623327000,630580.00
10.427673337000,661340.00
10.427723347000,658264.00
10.427773357000,632118.00
10.427823367000,599820.00
10.427873377000,576750.00
10.427923387000,515230.00
10.427973397000,519844.00
10.428023407000,509078.00
10.428073417000,513692.00
10.428123427000,572136.00
10.428173437000,567522.00
10.428223447000,542914.00
10.428273457000,542914.00
10.428323467000,555218.00
10.428373477000,509078.00
10.428423487000,578288.00
10.428473497000,590592.00
10.428523507000,856666.00
10.428573517000,770538.00
10.428623527000,650574.00
10.428673537000,639808.00
10.428723547000,609048.00
10.428773557000,653650.00
10.428823567000,576750.00
10.428873577000,570598.00
10.428923587000,576750.00
10.428973597000,587516.00
10.429023607000,567522.00
10.429073617000,558294.00
10.429123627000,530610.00
10.429173637000,479856.00
10.429223647000,439868.00
10.429273657000,444482.00
10.429323667000,504464.00
10.429373677000,562908.00
10.429423687000,509078.00
10.429473697000,487546.00
10.429523707000,432178.00
10.429573717000,473704.00
10.429623727000,536762.00
10.429673737000,572136.00
10.429723747000,466014.00
10.429773757000,410646.00
10.429823767000,410646.00
10.429873777000,446020.00
10.429923787000,572136.00
10.429973797000,535224.00
10.430023807000,530694.00
10.430073817000,512154.00
10.430123827000,499850.00
10.430173837000,556756.00
10.430223847000,541376.00
10.430273857000,527534.00
10.430323867000,475242.00
10.430373877000,410646.00
10.430423887000,338360.00
10.430473897000,341436.00
10.430523907000,352202.00
10.430573917000,419874.00
10.430623927000,453710.00
10.430673937000,506002.00
10.430723947000,482932.00
10.430773957000,470628.00
10.430823967000,450634.00
10.430873977000,519844.00
10.430923987000,507540.00
10.430973997000,527534.00
10.431024007000,472166.00
10.431074017000,601358.00
10.431124027000,649617.00
10.431174037000,619814.00
10.431224047000,660862.00
10.431274057000,645960.00
10.431324067000,689024.00
10.431374077000,667492.00
10.431424087000,655188.00
