timestamp,budget_bytes
10.422222230000,162.00
10.422272240000,162.00
10.422322250000,162.00
10.422372260000,162.00
10.422422270000,162.00
10.422472280000,162.00
10.422522290000,162.00
10.422572300000,162.00
10.422622310000,162.00
10.422672320000,162.00
10.422722330000,162.00
10.422772340000,162.00
10.422822350000,997.00
10.422872360000,162.00
10.422922370000,162.00
10.422972380000,162.00
10.423022390000,162.00
10.423072400000,162.00
10.423122410000,162.00
10.423172420000,1399.00
10.423222430000,162.00
10.423272440000,162.00
10.423322450000,162.00
10.423372460000,225.00
10.423422470000,162.00
10.423472480000,162.00
10.423522490000,917.00
10.423572500000,818.00
10.423622510000,162.00
10.423672520000,162.00
10.423722530000,162.00
10.423772540000,162.00
10.423822550000,162.00
10.423872560000,162.00
10.423922570000,162.00
10.423972580000,162.00
10.424022590000,162.00
10.424072600000,162.00
10.424122610000,162.00
10.424172620000,162.00
10.424222630000,162.00
10.424272640000,162.00
10.424322650000,162.00
10.424372660000,162.00
10.424422670000,162.00
10.424472680000,162.00
10.424522690000,162.00
10.424572700000,162.00
10.424622710000,162.00
10.424672720000,162.00
10.424722730000,162.00
10.424772740000,162.00
10.424822750000,162.00
10.424872760000,162.00
10.424922770000,162.00
10.424972780000,162.00
10.425022790000,1079.00
10.425072800000,162.00
10.425122810000,162.00
10.425172820000,162.00
10.425222830000,286.00
10.425272840000,162.00
10.425322850000,162.00
10.425372860000,162.00
10.425422870000,162.00
10.425472880000,162.00
10.425522890000,162.00
10.425572900000,162.00
10.425622910000,162.00
10.425672920000,162.00
10.425722930000,162.00
10.425772940000,162.00
10.425822950000,162.00
10.425872960000,162.00
10.425922970000,162.00
10.425972980000,162.00
10.426022990000,162.00
10.426073000000,162.00
10.426123010000,162.00
10.426173020000,162.00
10.426223030000,162.00
10.426273040000,162.00
10.426323050000,162.00
10.426373060000,162.00
10.426423070000,162.00
10.426473080000,162.00
10.426523090000,162.00
10.426573100000,162.00
10.426623110000,162.00
10.426673120000,162.00
10.426723130000,162.00
10.426773140000,162.00
10.426823150000,162.00
10.426873160000,162.00
